review_id,rule_id,rule_type,current_review_status,engine_status,review_reason,product_id,step_id,applies_to_step_id,regions,strength,confidence,message,source_sheet,source_cell,review_decision,final_rule_type,final_effect,normalized_payload,reviewer,reviewed_at,review_notes
review:0001,DRX-Compass FMT WW!E10:6704878:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6704878,fmt_step_1a,,,unknown,0.6,"Select proper system Hub base system based upon Analog or Digital requirements Includes: - DRX Console for use with any Digital Detector - PDU Base for any Power generator, - Engage Flex Pro 512 GB -Detector Calibration kit with Phantom",DRX-Compass FMT WW,E10,,review_needed,review_needed,,,,
review:0002,DRX-Compass FMT WW!D12:step_rule,region_only,auto_approved,not_implemented,region_part_implemented_review_extra_text,,,,,hard_block,0.9,Select Branding Kit - US Region Only,DRX-Compass FMT WW,D12,,region_allow,hard_block,,,,
review:0003,DRX-Compass FMT WW!B14:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_1b,,hard_block,0.95,Any one of the 2,DRX-Compass FMT WW,B14,,choose_one,hard_block,,,,
review:0004,DRX-Compass FMT WW!D14:6703656:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6703656,fmt_step_1b,,,hard_block,0.6,BRANDING KIT DR-FIT TABLE ONLY,DRX-Compass FMT WW,D14,,review_needed,review_needed,,,,
review:0005,DRX-Compass FMT WW!E14:6703656:free_text_constraint,free_text_constraint,needs_review,partially_implemented_region_rule,natural_language_constraint_needs_normalization,6703656,fmt_step_1b,,C;US,hard_block,0.6,Fit Branding Kits are for Dealer Only and always include with Parts Warranty Only Systems Currently US & C Only,DRX-Compass FMT WW,E14,,review_needed,review_needed,,,,
review:0006,DRX-Compass FMT WW!F14:6703656:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,6703656,fmt_step_1b,,,hard_block,0.9,Any one of the 2: It's only Table or WS. Selecting both: It's normal system,DRX-Compass FMT WW,F14,,choose_one,hard_block,,,,
review:0007,DRX-Compass FMT WW!D15:6703680:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6703680,fmt_step_1b,,,hard_block,0.6,BRANDING DRX-COMPASS TABLE ONLY,DRX-Compass FMT WW,D15,,review_needed,review_needed,,,,
review:0008,DRX-Compass FMT WW!E15:6703680:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6703680,fmt_step_1b,,,hard_block,0.6,Compass Branding Kits are for Direct or Dealer Systems and may include either Full I & W OR Parts Warranty Only,DRX-Compass FMT WW,E15,,review_needed,review_needed,,,,
review:0009,DRX-Compass FMT WW!B16:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_1b,,hard_block,0.95,Any one of the 2,DRX-Compass FMT WW,B16,,choose_one,hard_block,,,,
review:0010,DRX-Compass FMT WW!D16:6704456:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6704456,fmt_step_1b,,,hard_block,0.6,BRANDING DR-FIT TS & WS ONLY,DRX-Compass FMT WW,D16,,review_needed,review_needed,,,,
review:0011,DRX-Compass FMT WW!E16:6704456:free_text_constraint,free_text_constraint,needs_review,partially_implemented_region_rule,natural_language_constraint_needs_normalization,6704456,fmt_step_1b,,C;US,hard_block,0.6,Fit Branding Kits are for Dealer Only and always include with Parts Warranty Only Systems Currently US & C Only,DRX-Compass FMT WW,E16,,review_needed,review_needed,,,,
review:0012,DRX-Compass FMT WW!D17:6704464:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6704464,fmt_step_1b,,,hard_block,0.6,BRANDING DRX-COMPASS TS & WS ONLY,DRX-Compass FMT WW,D17,,review_needed,review_needed,,,,
review:0013,DRX-Compass FMT WW!E17:6704464:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6704464,fmt_step_1b,,,hard_block,0.6,Compass Branding Kits are for Direct or Dealer Systems and may include either Full I & W OR Parts Warranty Only,DRX-Compass FMT WW,E17,,review_needed,review_needed,,,,
review:0014,DRX-Compass FMT WW!B18:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_1b,,hard_block,0.95,Any one of the 2,DRX-Compass FMT WW,B18,,choose_one,hard_block,,,,
review:0015,DRX-Compass FMT WW!D18:6705305:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6705305,fmt_step_1b,,,hard_block,0.6,BRANDING DRX-FIT FMT ONLY,DRX-Compass FMT WW,D18,,review_needed,review_needed,,,,
review:0016,DRX-Compass FMT WW!E18:6705305:free_text_constraint,free_text_constraint,needs_review,partially_implemented_region_rule,natural_language_constraint_needs_normalization,6705305,fmt_step_1b,,C;US,hard_block,0.6,Fit Branding Kits are for Dealer Only and always include with Parts Warranty Only Systems Currently US & C Only,DRX-Compass FMT WW,E18,,review_needed,review_needed,,,,
review:0017,DRX-Compass FMT WW!F18:6705305:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6705305,fmt_step_1b,,,hard_block,0.6,For Tubestand Only System Step 4c/9/10/11/12/13 don't be selected,DRX-Compass FMT WW,F18,,review_needed,review_needed,,,,
review:0018,DRX-Compass FMT WW!D19:6705313:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6705313,fmt_step_1b,,,hard_block,0.6,BRANDING DRX-COMPASS FMT ONLY,DRX-Compass FMT WW,D19,,review_needed,review_needed,,,,
review:0019,DRX-Compass FMT WW!E19:6705313:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6705313,fmt_step_1b,,,hard_block,0.6,Compass Branding Kits are for Direct or Dealer Systems and may include either Full I & W OR Parts Warranty Only,DRX-Compass FMT WW,E19,,review_needed,review_needed,,,,
review:0020,DRX-Compass FMT WW!D21:step_rule,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,,,,,hard_block,0.9,Must Select Generator,DRX-Compass FMT WW,D21,,must_select,hard_block,,,,
review:0021,DRX-Compass FMT WW!B23:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_2,,hard_block,0.95,Any one of the 6,DRX-Compass FMT WW,B23,,choose_one,hard_block,,,,
review:0022,DRX-Compass FMT WW!D30:step_rule,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,,,,,hard_block,0.9,Must Select Floor Mount Tube Stand (FMT) type,DRX-Compass FMT WW,D30,,must_select,hard_block,,,,
review:0023,DRX-Compass FMT WW!B32:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_3,,hard_block,0.95,Any one of the 3,DRX-Compass FMT WW,B32,,choose_one,hard_block,,,,
review:0024,DRX-Compass FMT WW!F32:6704522:must_select,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,6704522,fmt_step_3,,,hard_block,0.9,For Analog system Only select: Step 9a 6704993 or No WS Step 11a 6705032 or 6705040 or No Tabel For Digital system must be select: Step 9a 6705214 or No WS Step 11a 6701676 or 6705222 or No Table,DRX-Compass FMT WW,F32,,must_select,hard_block,,,,
review:0025,DRX-Compass FMT WW!F33:6704530:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6704530,fmt_step_3,,,hard_block,0.6,For Digital system only select: Step 9a 6701585 or 6701593 or 8621765 or 8621773 or No WS Step 11a 6701668 or 6701692 or No Table,DRX-Compass FMT WW,F33,,review_needed,review_needed,,,,
review:0026,DRX-Compass FMT WW!F34:6704548:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6704548,fmt_step_3,,,hard_block,0.6,For Digital system only be select: Step 9a 6701585 or 6701593 Step 11a 6701668 or 6701692 or No Table,DRX-Compass FMT WW,F34,,review_needed,review_needed,,,,
review:0027,DRX-Compass FMT WW!D36:step_rule,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,,,,,hard_block,0.9,Must Select Longitudinal,DRX-Compass FMT WW,D36,,must_select,hard_block,,,,
review:0028,DRX-Compass FMT WW!B38:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_4a,,hard_block,0.95,Any one of the 2,DRX-Compass FMT WW,B38,,choose_one,hard_block,,,,
review:0029,DRX-Compass FMT WW!D41:step_rule,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,,,,,hard_block,0.9,Must Select High Tension Cable Bundle,DRX-Compass FMT WW,D41,,must_select,hard_block,,,,
review:0030,DRX-Compass FMT WW!B43:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_4b,,hard_block,0.95,Any one of the 2,DRX-Compass FMT WW,B43,,choose_one,hard_block,,,,
review:0031,DRX-Compass FMT WW!D50:step_rule,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,,,,,hard_block,0.9,Must Select one of the following Collimator Options,DRX-Compass FMT WW,D50,,must_select,hard_block,,,,
review:0032,DRX-Compass FMT WW!B52:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_5,,hard_block,0.95,Any one of the 3,DRX-Compass FMT WW,B52,,choose_one,hard_block,,,,
review:0033,DRX-Compass FMT WW!E58:6705131:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6705131,fmt_step_5a,,,hard_block,0.6,MC150 Filterwheel Must be factory installed,DRX-Compass FMT WW,E58,,review_needed,review_needed,,,,
review:0034,DRX-Compass FMT WW!F59:6705149:must_select,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,6705149,fmt_step_5a,,,hard_block,0.9,Must be selected when GCC Revisiong,DRX-Compass FMT WW,F59,,must_select,hard_block,,,,
review:0035,DRX-Compass FMT WW!E60:6705156:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6705156,fmt_step_5a,,,hard_block,0.6,MC150 vS1 Blade Feedback for SoftDAP POT Digital DRX Console ONLY,DRX-Compass FMT WW,E60,,review_needed,review_needed,,,,
review:0036,DRX-Compass FMT WW!F60:6705156:must_select,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,6705156,fmt_step_5a,,,hard_block,0.9,Must be selected when Soft DAP,DRX-Compass FMT WW,F60,,must_select,hard_block,,,,
review:0037,DRX-Compass FMT WW!E64:8624850:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,8624850,fmt_step_6,,,hard_block,0.6,All system detector must be DRX Plus or Focus HD if selected,DRX-Compass FMT WW,E64,,review_needed,review_needed,,,,
review:0038,DRX-Compass FMT WW!F64:8624850:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,8624850,fmt_step_6,,,hard_block,0.6,Must be stected DRX Bucky,DRX-Compass FMT WW,F64,,detector_bucky_compatibility,hard_block,,,,
review:0039,DRX-Compass FMT WW!E65:8624959:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,8624959,fmt_step_6,,,hard_block,0.6,All system detector must be DRX Plus or Focus HD if selected,DRX-Compass FMT WW,E65,,review_needed,review_needed,,,,
review:0040,DRX-Compass FMT WW!F65:8624959:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,8624959,fmt_step_6,,,hard_block,0.6,Must be stected DRX Bucky,DRX-Compass FMT WW,F65,,detector_bucky_compatibility,hard_block,,,,
review:0041,DRX-Compass FMT WW!D66:8615205:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,8615205,fmt_step_6,,,hard_block,0.6,DRX Plus 2530C Only for tabletop,DRX-Compass FMT WW,D66,,review_needed,review_needed,,,,
review:0042,DRX-Compass FMT WW!E66:8615205:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,8615205,fmt_step_6,,,hard_block,0.6,All system detector must be DRX Plus or Focus HD if selected,DRX-Compass FMT WW,E66,,review_needed,review_needed,,,,
review:0043,DRX-Compass FMT WW!F66:8615205:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,8615205,fmt_step_6,,,hard_block,0.6,Only for tabletop,DRX-Compass FMT WW,F66,,review_needed,review_needed,,,,
review:0044,DRX-Compass FMT WW!E67:6701122:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6701122,fmt_step_6,,,hard_block,0.6,All system detector must be Focus if selected,DRX-Compass FMT WW,E67,,review_needed,review_needed,,,,
review:0045,DRX-Compass FMT WW!F67:6701122:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,6701122,fmt_step_6,,,hard_block,0.6,Must be stected Focus Bucky,DRX-Compass FMT WW,F67,,detector_bucky_compatibility,hard_block,,,,
review:0046,DRX-Compass FMT WW!E68:8620148:region_only,region_only,auto_approved,partially_implemented_region_rule,region_part_implemented_review_extra_text,8620148,fmt_step_6,,C;US,hard_block,0.9,US & C Market Only All system detector must be Focus if selected,DRX-Compass FMT WW,E68,,region_allow,hard_block,,,,
review:0047,DRX-Compass FMT WW!F68:8620148:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,8620148,fmt_step_6,,,hard_block,0.6,Must be stected Focus Bucky,DRX-Compass FMT WW,F68,,detector_bucky_compatibility,hard_block,,,,
review:0048,DRX-Compass FMT WW!E69:6702336:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6702336,fmt_step_6,,,hard_block,0.6,All system detector must be Focus if selected,DRX-Compass FMT WW,E69,,review_needed,review_needed,,,,
review:0049,DRX-Compass FMT WW!F69:6702336:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,6702336,fmt_step_6,,,hard_block,0.6,Must be stected Focus Bucky,DRX-Compass FMT WW,F69,,detector_bucky_compatibility,hard_block,,,,
review:0050,DRX-Compass FMT WW!E70:8621278:region_only,region_only,auto_approved,partially_implemented_region_rule,region_part_implemented_review_extra_text,8621278,fmt_step_6,,C;US,hard_block,0.9,US & C Market Only All system detector must be Focus if selected,DRX-Compass FMT WW,E70,,region_allow,hard_block,,,,
review:0051,DRX-Compass FMT WW!F70:8621278:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,8621278,fmt_step_6,,,hard_block,0.6,Must be stected Focus Bucky,DRX-Compass FMT WW,F70,,detector_bucky_compatibility,hard_block,,,,
review:0052,DRX-Compass FMT WW!E71:6705727:detector_grid_match,detector_grid_match,needs_review,partially_implemented_detector_grid_matrix,candidate_detector_grid_rule_needs_confirmation,6705727,fmt_step_6,,,hard_block,0.6,All system detector must be DRX Plus or Focus HD if selected Does not match 44LINE/CM Grids,DRX-Compass FMT WW,E71,,detector_grid_support,hard_block,,,,
review:0053,DRX-Compass FMT WW!F71:6705727:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,6705727,fmt_step_6,,,hard_block,0.6,Must be stected DRX Bucky,DRX-Compass FMT WW,F71,,detector_bucky_compatibility,hard_block,,,,
review:0054,DRX-Compass FMT WW!E72:6705735:detector_grid_match,detector_grid_match,needs_review,partially_implemented_detector_grid_matrix,candidate_detector_grid_rule_needs_confirmation,6705735,fmt_step_6,,,hard_block,0.6,All system detector must be DRX Plus or Focus HD if selected Does not match 44LINE/CM Grids,DRX-Compass FMT WW,E72,,detector_grid_support,hard_block,,,,
review:0055,DRX-Compass FMT WW!F72:6705735:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,6705735,fmt_step_6,,,hard_block,0.6,Must be stected DRX Bucky,DRX-Compass FMT WW,F72,,detector_bucky_compatibility,hard_block,,,,
review:0056,DRX-Compass FMT WW!E73:8625246:region_only,region_only,auto_approved,partially_implemented_region_rule,region_part_implemented_review_extra_text,8625246,fmt_step_6,,C;US,hard_block,0.9,US & C Market Only .All system detector must be DRX Plus or Focus HD if selected Does not match 44LINE/CM Grids,DRX-Compass FMT WW,E73,,region_allow,hard_block,,,,
review:0057,DRX-Compass FMT WW!F73:8625246:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,8625246,fmt_step_6,,,hard_block,0.6,Must be stected DRX Bucky,DRX-Compass FMT WW,F73,,detector_bucky_compatibility,hard_block,,,,
review:0058,DRX-Compass FMT WW!E74:8625253:region_only,region_only,auto_approved,partially_implemented_region_rule,region_part_implemented_review_extra_text,8625253,fmt_step_6,,C;US,hard_block,0.9,US & C Market Only .All system detector must be DRX Plus or Focus HD if selected Does not match 44LINE/CM Grids,DRX-Compass FMT WW,E74,,region_allow,hard_block,,,,
review:0059,DRX-Compass FMT WW!F74:8625253:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,8625253,fmt_step_6,,,hard_block,0.6,Must be stected DRX Bucky,DRX-Compass FMT WW,F74,,detector_bucky_compatibility,hard_block,,,,
review:0060,DRX-Compass FMT WW!E75:8623316:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,8623316,fmt_step_6,,,hard_block,0.6,All system detector must be DRX Plus or Focus HD if selected,DRX-Compass FMT WW,E75,,review_needed,review_needed,,,,
review:0061,DRX-Compass FMT WW!F75:8623316:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,8623316,fmt_step_6,,,hard_block,0.6,Must be stected DRX Bucky,DRX-Compass FMT WW,F75,,detector_bucky_compatibility,hard_block,,,,
review:0062,DRX-Compass FMT WW!D78:step_rule,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,,,,,hard_block,0.9,Select Wireless Access Point (Must Select One),DRX-Compass FMT WW,D78,,must_select,hard_block,,,,
review:0063,DRX-Compass FMT WW!D92:step_rule,must_select,auto_approved,not_implemented,not_yet_implemented_required_selection,,,,,hard_block,0.9,Must Select one of the following Tube Options,DRX-Compass FMT WW,D92,,must_select,hard_block,,,,
review:0064,DRX-Compass FMT WW!B94:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_8,,hard_block,0.95,Any one of the 4,DRX-Compass FMT WW,B94,,choose_one,hard_block,,,,
review:0065,DRX-Compass FMT WW!B101:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_9a,,hard_block,0.95,Any one of the 6,DRX-Compass FMT WW,B101,,choose_one,hard_block,,,,
review:0066,DRX-Compass FMT WW!D101:6701585:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6701585,fmt_step_9a,,C,unknown,0.6,WallStand-T Z-MOTORIZED w/o Bucky C/F,DRX-Compass FMT WW,D101,,review_needed,review_needed,,,,
review:0067,DRX-Compass FMT WW!D102:6701593:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6701593,fmt_step_9a,,C,unknown,0.6,WallStand-NT Z-MOTORIZED w/o Bucky C/F,DRX-Compass FMT WW,D102,,review_needed,review_needed,,,,
review:0068,DRX-Compass FMT WW!D103:8621765:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,8621765,fmt_step_9a,,C,unknown,0.6,WallStand-T Z-MANUAL w/o Bucky C/F,DRX-Compass FMT WW,D103,,review_needed,review_needed,,,,
review:0069,DRX-Compass FMT WW!D104:8621773:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,8621773,fmt_step_9a,,C,unknown,0.6,WallStand-NT Z-MANUAL w/o Bucky C/F,DRX-Compass FMT WW,D104,,review_needed,review_needed,,,,
review:0070,DRX-Compass FMT WW!B110:any_one_of_n,any_one_of_n,auto_approved,not_implemented,not_yet_implemented_option_cardinality,,,fmt_step_9b,,hard_block,0.95,Any one of the 12,DRX-Compass FMT WW,B110,,choose_one,hard_block,,,,
review:0071,DRX-Compass FMT WW!D110:6701726:detector_bucky_match,detector_bucky_match,needs_review,not_implemented,not_yet_implemented_detector_bucky_check,6701726,fmt_step_9b,,,unknown,0.6,DRX Intermix Bucky for WS Left,DRX-Compass FMT WW,D110,,detector_bucky_compatibility,hard_block,,,,
review:0072,DRX-Compass FMT WW!E110:6701726:free_text_constraint,free_text_constraint,needs_review,not_implemented,natural_language_constraint_needs_normalization,6701726,fmt_step_9b,,,hard_block,0.6,Use Only With Other DRX Detector,DRX-Compass FMT WW,E110,,review_needed,review_needed,,,,
