review_id,rule_id,rule_type,current_review_status,engine_status,review_reason,product_line,product_id,step_id,option_group,regions,strength,confidence,message,source_workbook,source_sheet,source_cell,normalized_payload,review_decision,final_rule_type,final_effect,reviewer,reviewed_at,review_notes
dt_review:0001,decision_tree:0001,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 1,Choose System,,info,0.45,Step 1 | Choose System | DRX-Rise Cart,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A2,"{""message"": ""Step 1 | Choose System | DRX-Rise Cart""}",,note,info,,,
dt_review:0002,decision_tree:0002,choose_one,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626004,Step 1,Choose System,,hard_block,0.9,"Not include wifi adapter, need to choose one in Step 11",AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C3,"{""max"": 1, ""min"": 1, ""option_group"": ""Choose System"", ""source_text"": ""Not include wifi adapter, need to choose one in Step 11"", ""step_id"": ""Step 1""}",,choose_one,hard_block,,,
dt_review:0003,decision_tree:0003,warning,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626012,Step 1,Choose System,china,warning,0.65,China order follow China configuration,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C4,"{""message"": ""China order follow China configuration""}",,warning,warning,,,
dt_review:0004,decision_tree:0004,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 2,Choose System Battery,,info,0.45,Step2 | Choose System Battery | System Battery (included with DRX-Rise Cart),AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A6,"{""message"": ""Step2 | Choose System Battery | System Battery (included with DRX-Rise Cart)""}",,note,info,,,
dt_review:0005,decision_tree:0005,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626178,Step 2,Choose System Battery,,info,0.45,Only for 8626004 order separately from warehouse from distributor,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C7,"{""message"": ""Only for 8626004 order separately from warehouse from distributor""}",,note,info,,,
dt_review:0006,decision_tree:0006,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 3,Selected one WAP for your Country,,info,0.45,Step 3 | Selected one WAP for your Country | WAP (included with DRX-Rise Cart),AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A9,"{""message"": ""Step 3 | Selected one WAP for your Country | WAP (included with DRX-Rise Cart)""}",,note,info,,,
dt_review:0007,decision_tree:0007,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8625899,Step 3,Selected one WAP for your Country,us,info,0.45,"8625899 | ACCESS POINT, ARUBA AP-505(US)",AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C10,"{""message"": ""8625899 | ACCESS POINT, ARUBA AP-505(US)""}",,note,info,,,
dt_review:0008,decision_tree:0008,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 4,Selected one Power Cord,,info,0.45,Step 4 | Selected one Power Cord | Power Cord,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A16,"{""message"": ""Step 4 | Selected one Power Cord | Power Cord""}",,note,info,,,
dt_review:0009,decision_tree:0009,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626038,Step 4,Selected one Power Cord,us,info,0.45,8626038 | Power cord for US&C (125 VAC Cord Reel with Nema 5-15 Plug),AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C17,"{""message"": ""8626038 | Power cord for US&C (125 VAC Cord Reel with Nema 5-15 Plug)""}",,note,info,,,
dt_review:0010,decision_tree:0010,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626061,Step 4,Selected one Power Cord,china,info,0.45,8626061 | Power cord for China (250 VAC Cord Reel with a Chinese Plug and CCC approved cordage),AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C20,"{""message"": ""8626061 | Power cord for China (250 VAC Cord Reel with a Chinese Plug and CCC approved cordage)""}",,note,info,,,
